agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-1157,41.51262040713354,0.02724198990175549,42.36,63,0.63,0.025447914274438897,9.06,36,0.36
qfa-0-1158,22.42238544027212,0.02649269379837828,40.1,62,0.62,0.027689589525715486,22.3,47,0.47
qfa-0-116,44.215703146287346,0.26245477740666595,40.839999999999996,63,0.63,0.24273508003891217,8.319999999999999,32,0.32
qfa-0-1160,75.78479866796724,0.027734847096452443,42.97,61,0.61,0.02703585948765621,12.040000000000001,41,0.41
qfa-0-1161,73.24296487593554,0.027578389478223254,41.22,63,0.63,0.025830765477177865,12.87,37,0.37
qfa-0-1162,34.453278954858106,0.027982669499917477,47.86000000000001,65,0.65,0.0231868050901226,2.3500000000000005,35,0.35
qfa-0-1163,59.42983298556336,0.020489816632292095,40.15,69,0.69,0.021665618301773874,7.459999999999999,35,0.35
qfa-0-1164,57.7555617804646,0.025508559099433475,44.36,61,0.61,0.02593693958344891,3.62,26,0.26
qfa-0-1165,16.380450723020232,0.027913239797132977,43.959999999999994,64,0.64,0.023399024605700477,2.3000000000000003,33,0.33
qfa-0-1166,29.130194943864485,0.02401315571374867,42.33,64,0.64,0.024088520184344694,15.729999999999999,35,0.35
qfa-0-1167,68.16773046983589,0.024451199341777297,49.33,67,0.67,0.0225086755660936,6.840000000000001,29,0.29
qfa-0-1168,28.601995035589205,0.02150095743527094,39.74999999999999,60,0.6,0.022218392566994254,24.890000000000004,49,0.49
qfa-0-1169,63.5987082350502,0.02754820446106767,42.339999999999996,54,0.54,0.02531341171235719,11.23,34,0.34
qfa-0-117,38.82249450332638,0.265355565145041,37.96,55,0.55,0.2617032325285083,22.43,35,0.35
qfa-0-1170,35.333224770588245,0.02711130849537115,44.56,72,0.72,0.023811786549509717,13.8,38,0.38
qfa-0-1171,58.63895869591581,0.02890139502120768,39.980000000000004,64,0.64,0.026232333973391853,11.3,26,0.26
qfa-0-1172,34.05412550968292,0.024446612559167656,40.870000000000005,58,0.58,0.02137718743349137,-1.0299999999999998,26,0.26
qfa-0-1173,66.05880535468437,0.02628719630897755,45.83,67,0.67,0.024549523794163305,17.169999999999998,34,0.34
qfa-0-1174,47.24793780627169,0.024173689145767528,40.419999999999995,63,0.63,0.02135143964035912,12.740000000000002,32,0.32
qfa-0-1175,43.42036530573131,0.02620314130931516,44.129999999999995,67,0.67,0.022757998366746374,4.43,32,0.32
qfa-0-1176,22.519618575837892,0.03215622925202,34.02,64,0.64,0.029591889787544557,25.119999999999997,39,0.39
qfa-0-1178,30.498509281328747,0.02988289705306446,44.62,61,0.61,0.028742196662039504,19.889999999999997,34,0.34
qfa-0-1179,22.48623611601562,0.026695596794426797,40.73,66,0.66,0.02745971169530369,24.729999999999997,40,0.4
qfa-0-118,38.74763499811344,0.2498615237345146,42.01,65,0.65,0.2741740865306318,26.279999999999994,44,0.44
qfa-0-1180,36.27482487229571,0.02732949225812605,50.38,73,0.73,0.019533730522921712,13.55,38,0.38
qfa-0-1181,21.554814398778483,0.024225384390236904,44.39,66,0.66,0.02575603477116748,16.14,38,0.38
qfa-0-1182,45.04493299208743,0.027704984310730818,37.410000000000004,61,0.61,0.026903544999486738,10.739999999999998,33,0.33
qfa-0-1183,46.16640317185323,0.026640799883309384,48.84,69,0.69,0.021675535894208012,8.65,34,0.34
qfa-0-1184,41.734551539341794,0.026174394074629116,40.790000000000006,70,0.7,0.021615937377748463,8.440000000000001,29,0.29
qfa-0-1185,35.94707611250503,0.026886734023065482,41.67,63,0.63,0.026418370374986566,15.61,36,0.36
qfa-0-1186,29.731426576954185,0.030515299662434082,45.14,60,0.6,0.027951490073187125,8.4,30,0.3
qfa-0-1187,22.613372296897474,0.028280239933774164,49.209999999999994,65,0.65,0.02783768004034068,24.85,47,0.47
qfa-0-1188,16.273637751881964,0.027741101126961355,45.209999999999994,63,0.63,0.02596505052803713,10.95,34,0.34
qfa-0-1189,48.60247288614404,0.02281993472535253,45.13,57,0.57,0.019699808872797382,16.330000000000002,41,0.41
qfa-0-119,42.54604968267889,0.2048464212547756,45.64,66,0.66,0.20190457164571401,12.32,33,0.33
qfa-0-1190,64.57422782248105,0.022283121443430975,43.85,67,0.67,0.018315854898162273,0.95,33,0.33
qfa-0-1191,55.19767263048949,0.02811166489114907,42.61,67,0.67,0.02719110790030908,19.380000000000003,40,0.4
qfa-0-1192,34.49155317323859,0.02461016188791538,43.300000000000004,67,0.67,0.020641801437034993,4.8100000000000005,38,0.38
qfa-0-1193,36.32477485446397,0.025305877091676938,42.1,67,0.67,0.01827458549340131,10.75,35,0.35
qfa-0-1194,50.31727241174833,0.021891878693392493,41.040000000000006,61,0.61,0.02306692681786935,20.55,34,0.34
qfa-0-1196,28.023073046769362,0.019203865025281004,41.86,63,0.63,0.018201162768107845,13.319999999999999,36,0.36
qfa-0-1197,42.25694296989072,0.02972691951820764,48.0,65,0.65,0.026957038217061847,25.41,33,0.33
qfa-0-1198,45.550303325272615,0.027192187990464273,40.15,67,0.67,0.025677875211318073,7.2299999999999995,33,0.33
qfa-0-1199,31.687685607008095,0.029035373214017852,43.769999999999996,65,0.65,0.026812501785801045,8.31,28,0.28
qfa-0-12,36.682489187464,2.3031708937444226,47.010000000000005,69,0.69,2.13247356270704,18.07,33,0.33
qfa-0-120,36.38291311397859,0.28860791579379846,45.980000000000004,67,0.67,0.27166324960711197,19.04,38,0.38
qfa-0-1200,45.015750236672865,0.026181406132519923,45.089999999999996,67,0.67,0.02235940019405066,12.48,25,0.25
qfa-0-1201,49.60535788583472,0.028256844236826572,49.81,67,0.67,0.02496604715016687,5.45,35,0.35
